Produto,Data da Coleta,Valor de Venda
GASOLINA ADITIVADA,15/06/2023,5.57
GASOLINA ADITIVADA,19/06/2023,5.56
GASOLINA ADITIVADA,08/06/2023,5.62
GASOLINA ADITIVADA,20/06/2023,5.55
GASOLINA ADITIVADA,22/06/2023,5.57
GASOLINA ADITIVADA,07/06/2023,5.58
GASOLINA ADITIVADA,14/06/2023,5.59
GASOLINA ADITIVADA,31/05/2023,5.43
GASOLINA ADITIVADA,13/06/2023,5.6
GASOLINA ADITIVADA,06/06/2023,5.63
GASOLINA ADITIVADA,02/06/2023,5.43
GASOLINA ADITIVADA,01/06/2023,5.39
GASOLINA ADITIVADA,09/06/2023,5.6
GASOLINA ADITIVADA,28/06/2023,5.55
GASOLINA ADITIVADA,29/06/2023,5.62
GASOLINA ADITIVADA,26/06/2023,5.54
GASOLINA ADITIVADA,27/06/2023,5.55
GASOLINA ADITIVADA,30/06/2023,5.72
