Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
NE,10/01/2023,GASOLINA ADITIVADA,BRANCA,5.31
NE,11/01/2023,ETANOL,TDC DISTRIBUIDORA,4.03
NE,19/01/2023,ETANOL,BRANCA,4.57
NE,17/01/2023,ETANOL,ALESAT,4.24
NE,05/01/2023,GASOLINA,IPIRANGA,5.44
NE,05/01/2023,ETANOL,ALESAT,4.33
NE,05/01/2023,ETANOL,RAIZEN,4.55
NE,06/01/2023,ETANOL,PETROX DISTRIBUIDORA,4.19
NE,16/01/2023,DIESEL S10,PETROX DISTRIBUIDORA,6.14
NE,17/01/2023,DIESEL S10,FAN,6.37
NE,23/01/2023,GASOLINA,PETROX DISTRIBUIDORA,5.01
NE,24/01/2023,ETANOL,SP,4.54
NE,06/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.74
NE,19/01/2023,DIESEL,VIBRA ENERGIA,6.39
NE,17/01/2023,DIESEL,BRANCA,6.48
NE,17/01/2023,GNV,PETROBAHIA,4.29
NE,20/01/2023,GASOLINA ADITIVADA,BRANCA,5.39
NE,11/01/2023,GASOLINA,IPIRANGA,5.09
NE,06/01/2023,DIESEL S10,VIBRA ENERGIA,6.36
NE,16/01/2023,GASOLINA,SP,5.59
NE,18/01/2023,DIESEL S10,ALESAT,6.52
NE,04/01/2023,GASOLINA ADITIVADA,RAIZEN,5.63
NE,05/01/2023,DIESEL S10,ALESAT,6.64
NE,03/01/2023,ETANOL,SABBÁ,4.43
NE,11/01/2023,GASOLINA,SABBÁ,4.88
NE,24/01/2023,DIESEL S10,IPIRANGA,6.64
NE,26/01/2023,GASOLINA ADITIVADA,RAIZEN,5.9
NE,04/01/2023,ETANOL,BRANCA,4.35
NE,12/01/2023,DIESEL,IPIRANGA,6.41
NE,12/01/2023,GASOLINA,ALESAT,5.46
NE,18/01/2023,GASOLINA ADITIVADA,SP,5.69
NE,10/01/2023,DIESEL S10,VIBRA ENERGIA,6.59
NE,12/01/2023,DIESEL,BRANCA,6.2
NE,20/01/2023,GASOLINA,IPIRANGA,5.44
NE,17/01/2023,ETANOL,FAN,4.11
NE,24/01/2023,GASOLINA,SP,5.56
NE,04/01/2023,DIESEL,RAIZEN,6.5
NE,16/01/2023,DIESEL S10,DISLUB,6.59
NE,23/01/2023,DIESEL S10,RAIZEN,6.55
NE,25/01/2023,DIESEL S10,ALESAT,6.34
NE,25/01/2023,GASOLINA,DISLUB,5.03
NE,12/01/2023,DIESEL,VIBRA ENERGIA,6.42
NE,17/01/2023,DIESEL,FAN,6.27
NE,09/01/2023,GASOLINA,VIBRA ENERGIA,5.16
NE,17/01/2023,GNV,BRANCA,5.44
NE,11/01/2023,ETANOL,BRANCA,4.24
NE,05/01/2023,DIESEL,VIBRA ENERGIA,6.62
NE,12/01/2023,DIESEL S10,RAIZEN,6.5
NE,19/01/2023,DIESEL S10,BRANCA,6.6
NE,10/01/2023,ETANOL,LARCO,4.44
NE,17/01/2023,ETANOL,VIBRA ENERGIA,4.25
NE,26/01/2023,DIESEL S10,ALESAT,6.64
NE,25/01/2023,ETANOL,PETROBAHIA,4.19
NE,04/01/2023,GASOLINA ADITIVADA,FAN,5.29
NE,12/01/2023,ETANOL,PETROBAHIA,4.34
NE,11/01/2023,ETANOL,SP,4.79
NE,16/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.51
NE,19/01/2023,GASOLINA,SABBÁ,5.08
NE,23/01/2023,GASOLINA ADITIVADA,SABBÁ,5.16
NE,23/01/2023,GASOLINA,TDC DISTRIBUIDORA,4.74
NE,03/01/2023,GASOLINA,BRANCA,5.2
NE,02/01/2023,GNV,VIBRA ENERGIA,4.44
NE,25/01/2023,DIESEL S10,BRANCA,6.36
NE,25/01/2023,DIESEL,ALESAT,6.4
