Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
AL,10/01/2023,DIESEL,VIBRA ENERGIA,6.49
AL,19/01/2023,ETANOL,VIBRA ENERGIA,4.08
AL,26/01/2023,DIESEL S10,VIBRA ENERGIA,7.55
AL,24/01/2023,DIESEL S10,BRANCA,6.39
AL,19/01/2023,GASOLINA,ALESAT,5.2
AL,09/01/2023,GNV,IPIRANGA,4.59
AL,19/01/2023,GASOLINA ADITIVADA,RAIZEN,5.34
AL,26/01/2023,DIESEL,BRANCA,7.52
AL,19/01/2023,ETANOL,RAIZEN,3.99
AL,24/01/2023,ETANOL,ALESAT,4.09
AL,02/01/2023,GASOLINA ADITIVADA,BRANCA,5.47
AL,16/01/2023,ETANOL,DISLUB,3.99
AL,02/01/2023,GASOLINA,ALESAT,5.14
AL,11/01/2023,DIESEL S10,VIBRA ENERGIA,6.83
AL,09/01/2023,ETANOL,IPIRANGA,3.98
AL,10/01/2023,GASOLINA,ALESAT,5.19
AL,11/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.39
AL,26/01/2023,DIESEL,VIBRA ENERGIA,7.59
AL,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.26
AL,26/01/2023,GASOLINA ADITIVADA,BRANCA,5.92
AL,16/01/2023,ETANOL,ALESAT,3.99
AL,12/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.25
AL,23/01/2023,GASOLINA,RAIZEN,4.68
AL,11/01/2023,DIESEL,RAIZEN,6.98
AL,25/01/2023,DIESEL,IPIRANGA,6.62
AL,02/01/2023,DIESEL S10,IPIRANGA,6.99
AL,23/01/2023,DIESEL S10,ALESAT,6.69
AL,09/01/2023,DIESEL,BRANCA,6.09
AL,16/01/2023,GNV,VIBRA ENERGIA,4.58
AL,26/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,6.08
AL,23/01/2023,ETANOL,RAIZEN,3.65
AL,16/01/2023,GASOLINA,VIBRA ENERGIA,4.98
AL,23/01/2023,ETANOL,IPIRANGA,4.04
AL,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.06
AL,02/01/2023,GASOLINA,IPIRANGA,5.69
AL,24/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.39
AL,26/01/2023,GASOLINA ADITIVADA,DISLUB,6.04
AL,25/01/2023,ETANOL,IPIRANGA,4.09
AL,16/01/2023,GASOLINA,IPIRANGA,4.99
AL,19/01/2023,DIESEL,IPIRANGA,6.73
AL,19/01/2023,DIESEL S10,ALESAT,6.79
AL,24/01/2023,GASOLINA,IPIRANGA,5.12
AL,02/01/2023,DIESEL S10,VIBRA ENERGIA,6.55
AL,11/01/2023,ETANOL,RAIZEN,3.99
AL,26/01/2023,ETANOL,BRANCA,4.95
AL,25/01/2023,DIESEL,VIBRA ENERGIA,6.67
AL,25/01/2023,GASOLINA ADITIVADA,RAIZEN,5.57
AL,02/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.93
AL,10/01/2023,DIESEL,BRANCA,6.59
AL,19/01/2023,DIESEL S10,VIBRA ENERGIA,6.63
AL,11/01/2023,GASOLINA,RAIZEN,5.21
AL,09/01/2023,GASOLINA,IPIRANGA,4.85
AL,19/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.3
AL,02/01/2023,GASOLINA,DISLUB,5.19
AL,16/01/2023,ETANOL,IPIRANGA,4.14
AL,16/01/2023,DIESEL S10,ALESAT,6.79
AL,11/01/2023,DIESEL,IPIRANGA,6.73
AL,23/01/2023,GASOLINA,IPIRANGA,5.53
AL,23/01/2023,DIESEL,VIBRA ENERGIA,6.28
AL,09/01/2023,ETANOL,VIBRA ENERGIA,4.03
AL,09/01/2023,GASOLINA,VIBRA ENERGIA,4.92
AL,19/01/2023,DIESEL S10,RAIZEN,6.99
AL,16/01/2023,GASOLINA,RAIZEN,4.68
AL,10/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.34
AL,26/01/2023,GASOLINA,BRANCA,5.94
AL,23/01/2023,GNV,IPIRANGA,4.63
AL,24/01/2023,GASOLINA,DISLUB,5.19
AL,26/01/2023,ETANOL,IPIRANGA,4.2
AL,10/01/2023,GASOLINA ADITIVADA,BRANCA,5.22
AL,12/01/2023,DIESEL,VIBRA ENERGIA,6.8
AL,02/01/2023,DIESEL S10,BRANCA,6.7
AL,16/01/2023,GASOLINA ADITIVADA,RAIZEN,4.99
AL,25/01/2023,DIESEL S10,IPIRANGA,6.03
AL,26/01/2023,DIESEL,IPIRANGA,6.68
AL,24/01/2023,ETANOL,BRANCA,4.02
AL,10/01/2023,GASOLINA,IPIRANGA,5.14
AL,09/01/2023,GASOLINA ADITIVADA,RAIZEN,5.06
AL,23/01/2023,ETANOL,ALESAT,3.99
AL,16/01/2023,GASOLINA,ALESAT,5.09
AL,19/01/2023,GASOLINA ADITIVADA,ALESAT,5.39
AL,23/01/2023,DIESEL S10,BRANCA,6.12
AL,26/01/2023,ETANOL,RAIZEN,5.78
AL,10/01/2023,DIESEL,IPIRANGA,6.89
AL,10/01/2023,GASOLINA,RAIZEN,5.09
AL,02/01/2023,GASOLINA,BRANCA,5.1
AL,12/01/2023,ETANOL,VIBRA ENERGIA,4.2
AL,23/01/2023,GASOLINA,BRANCA,4.68
AL,02/01/2023,ETANOL,ALESAT,4.09
AL,02/01/2023,GASOLINA,RAIZEN,5.11
AL,16/01/2023,DIESEL,IPIRANGA,7.01
AL,25/01/2023,DIESEL S10,RAIZEN,6.99
AL,24/01/2023,GASOLINA,BRANCA,4.94
AL,16/01/2023,GASOLINA ADITIVADA,BRANCA,5.12
AL,24/01/2023,GASOLINA ADITIVADA,BRANCA,5.12
AL,25/01/2023,DIESEL S10,ALESAT,6.79
AL,10/01/2023,GASOLINA ADITIVADA,DISLUB,5.38
AL,09/01/2023,DIESEL S10,IPIRANGA,6.99
AL,10/01/2023,DIESEL S10,RAIZEN,6.59
AL,24/01/2023,DIESEL S10,DISLUB,6.79
AL,16/01/2023,DIESEL,VIBRA ENERGIA,6.37
AL,02/01/2023,DIESEL S10,DISLUB,6.99
AL,09/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.07
AL,16/01/2023,GNV,RAIZEN,4.67
AL,25/01/2023,GNV,VIBRA ENERGIA,5.27
AL,23/01/2023,ETANOL,BRANCA,3.82
AL,25/01/2023,DIESEL S10,VIBRA ENERGIA,6.83
AL,19/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.3
AL,23/01/2023,GASOLINA,ALESAT,4.99
AL,09/01/2023,ETANOL,BRANCA,3.86
AL,16/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.61
AL,02/01/2023,ETANOL,IPIRANGA,4.12
AL,24/01/2023,GASOLINA,VIBRA ENERGIA,5.17
AL,25/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.41
AL,24/01/2023,DIESEL S10,IPIRANGA,6.72
AL,26/01/2023,GASOLINA,RAIZEN,5.99
AL,11/01/2023,GASOLINA ADITIVADA,ALESAT,5.39
AL,10/01/2023,GASOLINA ADITIVADA,RAIZEN,5.19
AL,09/01/2023,GNV,RAIZEN,4.76
AL,16/01/2023,DIESEL S10,VIBRA ENERGIA,6.56
AL,24/01/2023,DIESEL S10,ALESAT,6.89
AL,24/01/2023,DIESEL,VIBRA ENERGIA,6.19
AL,19/01/2023,DIESEL,VIBRA ENERGIA,6.53
AL,19/01/2023,GASOLINA,IPIRANGA,5.29
AL,10/01/2023,ETANOL,ALESAT,3.99
AL,16/01/2023,ETANOL,RAIZEN,3.59
AL,11/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.9
AL,25/01/2023,GASOLINA,IPIRANGA,5.11
AL,02/01/2023,ETANOL,DISLUB,4.19
AL,25/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.34
AL,10/01/2023,DIESEL S10,BRANCA,6.59
AL,02/01/2023,ETANOL,VIBRA ENERGIA,4.02
AL,10/01/2023,ETANOL,VIBRA ENERGIA,4.24
AL,02/01/2023,GNV,IPIRANGA,4.85
AL,11/01/2023,ETANOL,VIBRA ENERGIA,4.18
AL,10/01/2023,ETANOL,BRANCA,4.12
AL,09/01/2023,GASOLINA,BRANCA,4.77
AL,24/01/2023,ETANOL,VIBRA ENERGIA,4.16
AL,23/01/2023,DIESEL,IPIRANGA,7.08
AL,15/02/2023,DIESEL S10,IPIRANGA,6.46
AL,13/02/2023,DIESEL,RAIZEN,7.57
AL,06/02/2023,GASOLINA,IPIRANGA,5.35
AL,22/02/2023,GASOLINA,BRANCA,4.91
AL,06/02/2023,GASOLINA ADITIVADA,IPIRANGA,5.59
AL,23/02/2023,GASOLINA,BRANCA,5.94
AL,30/01/2023,GASOLINA,IPIRANGA,5.32
AL,07/02/2023,GASOLINA ADITIVADA,BRANCA,5.92
AL,07/02/2023,GASOLINA,ALESAT,5.09
AL,13/02/2023,DIESEL,BRANCA,7.52
AL,15/02/2023,GASOLINA ADITIVADA,IPIRANGA,5.93
AL,14/02/2023,DIESEL S10,BRANCA,6.42
AL,13/02/2023,GASOLINA,BRANCA,5.94
AL,15/02/2023,ETANOL,ALESAT,4.09
AL,06/02/2023,GASOLINA,VIBRA ENERGIA,5.44
AL,15/02/2023,DIESEL S10,ALESAT,5.99
AL,15/02/2023,GNV,RAIZEN,4.59
AL,14/02/2023,ETANOL,DISLUB,4.19
AL,31/01/2023,DIESEL S10,BRANCA,6.6
AL,20/02/2023,GASOLINA ADITIVADA,IPIRANGA,5.54
AL,22/02/2023,ETANOL,VIBRA ENERGIA,3.96
AL,31/01/2023,DIESEL S10,ALESAT,6.59
AL,31/01/2023,GASOLINA ADITIVADA,IPIRANGA,6.17
AL,30/01/2023,GASOLINA,BRANCA,5.65
AL,15/02/2023,GASOLINA,ALESAT,4.99
AL,22/02/2023,GASOLINA,RAIZEN,4.97
AL,31/01/2023,DIESEL,IPIRANGA,7.08
AL,15/02/2023,ETANOL,VIBRA ENERGIA,3.99
AL,30/01/2023,DIESEL S10,BRANCA,7.06
AL,01/02/2023,DIESEL,IPIRANGA,6.66
AL,23/02/2023,DIESEL S10,BRANCA,6.83
AL,06/02/2023,GNV,IPIRANGA,4.49
AL,31/01/2023,GASOLINA,VIBRA ENERGIA,5.08
AL,20/02/2023,ETANOL,VIBRA ENERGIA,4.32
AL,07/02/2023,GASOLINA ADITIVADA,IPIRANGA,5.91
AL,13/02/2023,GASOLINA,VIBRA ENERGIA,5.98
AL,13/02/2023,ETANOL,RAIZEN,5.78
