Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data Formatada,Mes,Ano,Data da Carga ETL
SE,SP,SAO BERNARDO DO CAMPO,AUTO POSTO CRIARTE LTDA,09.459.292/0001-08,AVENIDA CAPITAO CASA,1033,,DOS CASA,09812-000,GASOLINA ADITIVADA,06/06/2023,6.15,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
SE,SP,SAO BERNARDO DO CAMPO,AUTO POSTO CRIARTE LTDA,09.459.292/0001-08,AVENIDA CAPITAO CASA,1033,,DOS CASA,09812-000,GASOLINA,06/06/2023,5.67,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
S,RS,GRAMADO,SIM REDE DE POSTOS LTDA,07.473.735/0029-82,RUA JOAO PETRY,45,,CENTRO,95670-000,DIESEL S10,06/06/2023,5.69,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
S,RS,GRAMADO,SIM REDE DE POSTOS LTDA,07.473.735/0029-82,RUA JOAO PETRY,45,,CENTRO,95670-000,GASOLINA ADITIVADA,06/06/2023,5.99,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
S,RS,GRAMADO,SIM REDE DE POSTOS LTDA,07.473.735/0029-82,RUA JOAO PETRY,45,,CENTRO,95670-000,GASOLINA,06/06/2023,5.86,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
SE,SP,MIRASSOL,AUTO POSTO MIRAMAX LTDA,10.943.250/0001-19,RUA OSVALDO CRUZ,21-56,,CENTRO,15130-000,ETANOL,06/06/2023,3.69,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
SE,SP,MIRASSOL,AUTO POSTO MIRAMAX LTDA,10.943.250/0001-19,RUA OSVALDO CRUZ,21-56,,CENTRO,15130-000,DIESEL S10,06/06/2023,5.19,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
SE,SP,MIRASSOL,AUTO POSTO MIRAMAX LTDA,10.943.250/0001-19,RUA OSVALDO CRUZ,21-56,,CENTRO,15130-000,DIESEL,06/06/2023,5.09,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
SE,SP,MIRASSOL,AUTO POSTO MIRAMAX LTDA,10.943.250/0001-19,RUA OSVALDO CRUZ,21-56,,CENTRO,15130-000,GASOLINA ADITIVADA,06/06/2023,5.69,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
SE,SP,MIRASSOL,AUTO POSTO MIRAMAX LTDA,10.943.250/0001-19,RUA OSVALDO CRUZ,21-56,,CENTRO,15130-000,GASOLINA,06/06/2023,5.59,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
N,AM,MANAUS,IGAPÓ COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.,10.897.820/0001-81,AVENIDA MARGARITA,1147,CONJUNTO HABITACIONAL NOVA CIDADE.,CIDADE NOVA,69094-770,ETANOL,06/06/2023,4.59,,R$ / litro,ATEM' S,2023-06-06,6,2023,2023-11-23
N,AM,MANAUS,IGAPÓ COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.,10.897.820/0001-81,AVENIDA MARGARITA,1147,CONJUNTO HABITACIONAL NOVA CIDADE.,CIDADE NOVA,69094-770,DIESEL S10,06/06/2023,4.89,,R$ / litro,ATEM' S,2023-06-06,6,2023,2023-11-23
