Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
MG,04/01/2023,DIESEL S10,ALESAT,6.3
MG,12/01/2023,GASOLINA,CIAPETRO,4.68
MG,19/01/2023,DIESEL S10,IPIRANGA,6.34
MG,16/01/2023,ETANOL,TOTALENERGIES,4.07
MG,02/01/2023,DIESEL S10,ALESAT,6.47
MG,05/01/2023,ETANOL,TOTALENERGIES,4.17
MG,09/01/2023,DIESEL S10,IPIRANGA,6.34
MG,10/01/2023,GASOLINA ADITIVADA,RIO BRANCO,5.15
MG,16/01/2023,DIESEL,ALESAT,6.2
MG,16/01/2023,GASOLINA ADITIVADA,ALESAT,5.09
MG,25/01/2023,GASOLINA,BRANCA,4.89
MG,02/01/2023,GASOLINA,RAIZEN,5.14
MG,20/01/2023,DIESEL,BRANCA,6.36
MG,04/01/2023,DIESEL,ALESAT,6.17
MG,10/01/2023,ETANOL,BRANCA,3.85
MG,12/01/2023,DIESEL S10,TOTALENERGIES,6.55
MG,17/01/2023,DIESEL S10,TOTALENERGIES,6.55
MG,05/01/2023,ETANOL,ALESAT,4.2
MG,13/01/2023,DIESEL,BRANCA,6.06
MG,20/01/2023,DIESEL S10,RAIZEN,6.33
MG,23/01/2023,GASOLINA,RAIZEN,4.9
MG,26/01/2023,ETANOL,RAIZEN,3.86
MG,03/01/2023,ETANOL,IPIRANGA,4.03
MG,23/01/2023,DIESEL S10,IPIRANGA,6.25
MG,10/01/2023,DIESEL,RAIZEN,6.2
MG,10/01/2023,DIESEL S10,TOTALENERGIES,6.3
MG,20/01/2023,DIESEL S10,IPIRANGA,6.22
MG,26/01/2023,ETANOL,VIBRA ENERGIA,3.81
MG,05/01/2023,DIESEL S10,ALESAT,7.05
MG,10/01/2023,ETANOL,RAIZEN,3.98
MG,20/01/2023,ETANOL,BRANCA,3.94
MG,20/01/2023,ETANOL,ALESAT,3.96
MG,24/01/2023,DIESEL,ALESAT,6.11
MG,09/01/2023,GNV,RAIZEN,4.99
MG,19/01/2023,DIESEL S10,RAIZEN,6.35
MG,19/01/2023,ETANOL,RIO BRANCO,3.99
MG,04/01/2023,DIESEL,VIBRA ENERGIA,6.3
MG,11/01/2023,DIESEL,VIBRA ENERGIA,6.13
MG,11/01/2023,GASOLINA ADITIVADA,RAIZEN,5.19
MG,25/01/2023,ETANOL,TOTALENERGIES,3.78
MG,02/01/2023,DIESEL,IPIRANGA,6.26
MG,05/01/2023,DIESEL,ALESAT,6.37
MG,09/01/2023,GASOLINA,IPIRANGA,4.94
MG,12/01/2023,ETANOL,RAIZEN,3.95
MG,16/01/2023,GNV,VIBRA ENERGIA,4.86
MG,19/01/2023,ETANOL,IPIRANGA,3.88
MG,18/01/2023,DIESEL,ALESAT,6.23
MG,18/01/2023,DIESEL,BRANCA,6.08
MG,12/01/2023,ETANOL,TOTALENERGIES,3.95
MG,09/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.11
MG,10/01/2023,ETANOL,TOTALENERGIES,4.07
MG,17/01/2023,GASOLINA ADITIVADA,RAIZEN,5.24
MG,10/01/2023,ETANOL,IPIRANGA,4.02
MG,12/01/2023,GASOLINA,IPIRANGA,4.97
MG,17/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.11
MG,16/01/2023,DIESEL S10,VIBRA ENERGIA,6.27
MG,23/01/2023,ETANOL,VIBRA ENERGIA,3.92
MG,11/01/2023,GASOLINA,IPIRANGA,4.98
MG,17/01/2023,ETANOL,IPIRANGA,3.84
MG,16/01/2023,DIESEL S10,BRANCA,6.22
MG,18/01/2023,GNV,BRANCA,4.85
MG,24/01/2023,ETANOL,ALESAT,3.83
MG,23/01/2023,GNV,ALESAT,4.85
MG,04/01/2023,GASOLINA,RAIZEN,5.04
MG,03/01/2023,DIESEL S10,VIBRA ENERGIA,6.44
MG,25/01/2023,ETANOL,CIAPETRO,3.48
MG,10/01/2023,GASOLINA,BRANCA,4.9
MG,18/01/2023,GASOLINA ADITIVADA,BRANCA,4.96
MG,26/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.17
MG,26/01/2023,GASOLINA,VIBRA ENERGIA,5.01
MG,24/01/2023,GASOLINA,VIBRA ENERGIA,4.92
MG,03/01/2023,DIESEL,IPIRANGA,6.34
MG,11/01/2023,ETANOL,ALESAT,4.11
MG,19/01/2023,DIESEL S10,RIO BRANCO,6.29
MG,05/01/2023,DIESEL S10,IPIRANGA,6.4
MG,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.18
MG,19/01/2023,ETANOL,BRANCA,3.8
MG,24/01/2023,ETANOL,RAIZEN,3.74
MG,04/01/2023,DIESEL S10,BRANCA,6.36
MG,05/01/2023,DIESEL,TOTALENERGIES,6.25
MG,19/01/2023,GASOLINA,IPIRANGA,4.92
MG,04/01/2023,DIESEL,RAIZEN,6.49
MG,03/01/2023,GASOLINA ADITIVADA,CIAPETRO,5.09
MG,24/01/2023,DIESEL S10,RAIZEN,6.18
MG,25/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.2
MG,04/01/2023,DIESEL,IPIRANGA,6.3
MG,10/01/2023,GASOLINA ADITIVADA,RAIZEN,5.32
