Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data Formatada,Mes,Ano,Data da Carga ETL
NE,AL,ARAPIRACA,IBN PINTO E SILVA & CIA LTDA,01.242.690/0002-39,"AVENIDA EMIDIO DE LIMA,",23,,JARDIM ESPERANCA,57304-820,DIESEL S10,01/05/2023,6.39,,R$ / litro,IPIRANGA,2023-01-05,1,2023,2023-11-23
NE,AL,ARAPIRACA,IBN PINTO E SILVA & CIA LTDA,01.242.690/0002-39,"AVENIDA EMIDIO DE LIMA,",23,,JARDIM ESPERANCA,57304-820,GASOLINA ADITIVADA,01/05/2023,5.94,,R$ / litro,IPIRANGA,2023-01-05,1,2023,2023-11-23
NE,AL,ARAPIRACA,IBN PINTO E SILVA & CIA LTDA,01.242.690/0002-39,"AVENIDA EMIDIO DE LIMA,",23,,JARDIM ESPERANCA,57304-820,GASOLINA,01/05/2023,5.74,,R$ / litro,IPIRANGA,2023-01-05,1,2023,2023-11-23
NE,AL,DELMIRO GOUVEIA,AUTO POSTO FREITAS & MAIA LTDA,12.436.978/0001-80,RUA FLORIANO PEIXOTO,247,,CENTRO,57480-000,ETANOL,01/05/2023,4.98,,R$ / litro,VIBRA ENERGIA,2023-01-05,1,2023,2023-11-23
NE,AL,DELMIRO GOUVEIA,AUTO POSTO FREITAS & MAIA LTDA,12.436.978/0001-80,RUA FLORIANO PEIXOTO,247,,CENTRO,57480-000,DIESEL S10,01/05/2023,7.13,,R$ / litro,VIBRA ENERGIA,2023-01-05,1,2023,2023-11-23
NE,AL,DELMIRO GOUVEIA,AUTO POSTO FREITAS & MAIA LTDA,12.436.978/0001-80,RUA FLORIANO PEIXOTO,247,,CENTRO,57480-000,GASOLINA ADITIVADA,01/05/2023,6.69,,R$ / litro,VIBRA ENERGIA,2023-01-05,1,2023,2023-11-23
NE,AL,DELMIRO GOUVEIA,AUTO POSTO FREITAS & MAIA LTDA,12.436.978/0001-80,RUA FLORIANO PEIXOTO,247,,CENTRO,57480-000,GASOLINA,01/05/2023,6.59,,R$ / litro,VIBRA ENERGIA,2023-01-05,1,2023,2023-11-23
NE,AL,DELMIRO GOUVEIA,AUTO POSTO DA PEDRA LTDA,05.518.639/0001-87,RUA FLORIANO PEIXOTO,281,,CENTRO,57480-000,ETANOL,01/05/2023,4.97,,R$ / litro,BRANCA,2023-01-05,1,2023,2023-11-23
NE,AL,DELMIRO GOUVEIA,AUTO POSTO DA PEDRA LTDA,05.518.639/0001-87,RUA FLORIANO PEIXOTO,281,,CENTRO,57480-000,DIESEL S10,01/05/2023,7.19,,R$ / litro,BRANCA,2023-01-05,1,2023,2023-11-23
NE,AL,DELMIRO GOUVEIA,AUTO POSTO DA PEDRA LTDA,05.518.639/0001-87,RUA FLORIANO PEIXOTO,281,,CENTRO,57480-000,DIESEL,01/05/2023,7.13,,R$ / litro,BRANCA,2023-01-05,1,2023,2023-11-23
