Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data Formatada,Mes,Ano,Data da Carga ETL
NE,AL,PALMEIRA DOS INDIOS,BALBINO & CIA LTDA,08.623.068/0001-39,AVENIDA MUNIZ FALCAO,"1,001",,JOSE MAIA COSTA,57602-490,GASOLINA ADITIVADA,07/03/2023,5.97,,R$ / litro,RAIZEN,2023-07-03,7,2023,2023-11-23
NE,AL,PALMEIRA DOS INDIOS,BALBINO & CIA LTDA,08.623.068/0001-39,AVENIDA MUNIZ FALCAO,"1,001",,JOSE MAIA COSTA,57602-490,GASOLINA,07/03/2023,5.87,,R$ / litro,RAIZEN,2023-07-03,7,2023,2023-11-23
NE,AL,PALMEIRA DOS INDIOS,AMORIM & CORREIA LTDA,08.413.304/0001-92,RUA PEDRO BARBOSA,S/N,,CENTRO,57601-080,DIESEL S10,07/03/2023,6.57,,R$ / litro,VIBRA ENERGIA,2023-07-03,7,2023,2023-11-23
NE,AL,PALMEIRA DOS INDIOS,AMORIM & CORREIA LTDA,08.413.304/0001-92,RUA PEDRO BARBOSA,S/N,,CENTRO,57601-080,GASOLINA ADITIVADA,07/03/2023,5.88,,R$ / litro,VIBRA ENERGIA,2023-07-03,7,2023,2023-11-23
NE,AL,PALMEIRA DOS INDIOS,AMORIM & CORREIA LTDA,08.413.304/0001-92,RUA PEDRO BARBOSA,S/N,,CENTRO,57601-080,GASOLINA,07/03/2023,5.81,,R$ / litro,VIBRA ENERGIA,2023-07-03,7,2023,2023-11-23
NE,AL,RIO LARGO,CDA EMPREENDIMENTOS LTDA,12.486.809/0004-05,RODOVIA BR 104 AL. KM 86,SN,,MATA DO ROLO,57100-000,ETANOL,07/03/2023,4.39,,R$ / litro,VIBRA ENERGIA,2023-07-03,7,2023,2023-11-23
NE,AL,RIO LARGO,CDA EMPREENDIMENTOS LTDA,12.486.809/0004-05,RODOVIA BR 104 AL. KM 86,SN,,MATA DO ROLO,57100-000,DIESEL S10,07/03/2023,5.99,,R$ / litro,VIBRA ENERGIA,2023-07-03,7,2023,2023-11-23
NE,AL,RIO LARGO,CDA EMPREENDIMENTOS LTDA,12.486.809/0004-05,RODOVIA BR 104 AL. KM 86,SN,,MATA DO ROLO,57100-000,GASOLINA ADITIVADA,07/03/2023,5.7,,R$ / litro,VIBRA ENERGIA,2023-07-03,7,2023,2023-11-23
NE,AL,RIO LARGO,CDA EMPREENDIMENTOS LTDA,12.486.809/0004-05,RODOVIA BR 104 AL. KM 86,SN,,MATA DO ROLO,57100-000,GASOLINA,07/03/2023,5.59,,R$ / litro,VIBRA ENERGIA,2023-07-03,7,2023,2023-11-23
NE,AL,RIO LARGO,CDA EMPREENDIMENTOS LTDA,12.486.809/0004-05,RODOVIA BR 104 AL. KM 86,SN,,MATA DO ROLO,57100-000,GNV,07/03/2023,4.59,,R$ / m³,VIBRA ENERGIA,2023-07-03,7,2023,2023-11-23
