Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
SE,MG,TEOFILO OTONI,LM DERIVADOS DE PETROLEO EIRELI,20.845.607/0001-80,AVENIDA ALFREDO SA,"2,21",,JARDIM DAS ACACIAS,39803-000,ETANOL,22/05/2023,3.58,,R$ / litro,ALESAT,2023-11-21
NE,CE,LIMOEIRO DO NORTE,VERA LUCIA OLIVEIRA SILVA SANTIAGO EIRELI,30.656.266/0001-58,RUA DR GASPAR DE OLIVEIRA,2585,,SANTA LUZIA,62930-000,ETANOL,22/05/2023,4.49,,R$ / litro,BRANCA,2023-11-21
NE,MA,SANTA INES,AUTO POSTO LINHARES LTDA,33.784.184/0001-87,RODOVIA BR 222,1630,,SANTA FILOMENA,65300-970,ETANOL,24/05/2023,4.99,,R$ / litro,SABBÁ,2023-11-21
SE,MG,JOAO PINHEIRO,REDE SANTANA COMBUSTIVES JOAO PINHEIRO II LTDA,34.413.014/0001-59,AVENIDA HORACIO DORNELAS,392,,MARIA JOSE DE PAULA,38770-000,ETANOL,24/05/2023,3.87,,R$ / litro,BRANCA,2023-11-21
SE,SP,SAO CAETANO DO SUL,AUTO POSTO ESTADAO 1000 LTDA,34.994.247/0001-92,RUA MERCURIO,30,,PROSPERIDADE,09550-500,ETANOL,23/05/2023,3.09,,R$ / litro,BRANCA,2023-11-21
NE,BA,FEIRA DE SANTANA,DK COMERCIO DE DERIVADOS DE PETROLEO LTDA,30.407.550/0004-33,AVENIDA PRESIDENTE DUTRA,1802,,CAPUCHINHOS,44076-130,ETANOL,25/05/2023,4.14,,R$ / litro,ALESAT,2023-11-21
SE,SP,MOCOCA,LAGO AZUL COMBUSTIVEIS LTDA,38.441.455/0001-15,RUA SENADOR JOSE ERMIRIO DE MORAES,670,,JARDIM LAVINIA,13738-300,ETANOL,22/05/2023,3.49,,R$ / litro,BRANCA,2023-11-21
NE,BA,FEIRA DE SANTANA,DK COMERCIO DE DERIVADOS DE PETROLEO LTDA,30.407.550/0005-14,AVENIDA DEPUTADO FRANCISCO JOSE PINTO DOS SANTOS,530,,PEDRA DO DESCANSO,44007-190,ETANOL,25/05/2023,4.14,,R$ / litro,ALESAT,2023-11-21
SE,MG,PARA DE MINAS,POSTO DE COMBUSTIVEL MDA LTDA,32.278.427/0001-42,RUA RICARDO MARINHO,650,LOJA 1,SAO GERALDO,35660-970,ETANOL,23/05/2023,3.89,,R$ / litro,ALESAT,2023-11-21
NE,BA,SENHOR DO BONFIM,SAUDI COMBUSTIVEIS LTDA,10.957.417/0001-09,RUA BARAO DO COTEGIPE,190,,CENTRO,48970-000,ETANOL,24/05/2023,4.45,,R$ / litro,BRANCA,2023-11-21
SE,MG,TIMOTEO,COMERCIAL DE COMBUSTIVEIS TIMOTEO LTDA,30.834.466/0001-53,AVENIDA SENADOR MILTON CAMPOS,58,,QUITANDINHA,35180-073,ETANOL,25/05/2023,3.79,,R$ / litro,ALESAT,2023-11-21
S,PR,TOLEDO,AUTO POSTO TOLEDO LTDA,39.500.290/0001-78,AVENIDA NOSSA SENHORA DE FATIMA,490,,JARDIM PORTO ALEGRE,85906-230,ETANOL,24/05/2023,3.69,,R$ / litro,BRANCA,2023-11-21
SE,SP,DRACENA,AUTO POSTO AMERICA DE DRACENA LTDA,39.380.925/0001-40,RUA OITO DE DEZEMBRO,16,,METROPOLE,17900-000,ETANOL,24/05/2023,3.66,,R$ / litro,IPIRANGA,2023-11-21
NE,BA,SENHOR DO BONFIM,REDE JG BONFIM COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,34.309.083/0001-17,RODOVIA LOMANTO JUNIOR,315,ANTIGO POSTO CHEBABE,LOMANTO JUNIOR,48970-000,ETANOL,24/05/2023,4.37,,R$ / litro,BRANCA,2023-11-21
S,PR,FOZ DO IGUACU,APT COMERCIO DE COMBUSTIVEL EIRELI,35.789.472/0001-50,AVENIDA JORGE SCHIMMELPFENG,340,,CENTRO,85851-110,ETANOL,23/05/2023,3.57,,R$ / litro,IDAZA,2023-11-21
NE,BA,SENHOR DO BONFIM,REDE JG TIMBAU COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,34.309.089/0001-94,RODOVIA LOMANTO JUNIOR,1323,POSTO TIMBAU,BR 407,48970-000,ETANOL,23/05/2023,4.35,,R$ / litro,BRANCA,2023-11-21
NE,PE,GOIANA,VILA DE GOIANA COMERCIO DE COMBUSTIVEIS LTDA,34.058.185/0002-98,LARGO DA ALVORADA,100,,CENTRO,55900-000,ETANOL,25/05/2023,4.14,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,BA,JACOBINA,POSTO DE COMBUSTIVEIS MODELO LTDA,27.814.022/0001-41,RUA REINALDO JACOBINA VIEIRA,SN,,PERU,44700-000,ETANOL,24/05/2023,4.19,,R$ / litro,BRANCA,2023-11-21
NE,CE,ICO,AUTO POSTO BASTOS LTDA,36.081.045/0001-85,RUA PADRE JOSE ALVES DE MACEDO,1076,,ALTO DOS BASTOS,63430-000,ETANOL,23/05/2023,4.79,,R$ / litro,BRANCA,2023-11-21
S,RS,PORTO ALEGRE,SIM REDE DE POSTOS LTDA,07.473.735/0173-19,AVENIDA ASSIS BRASIL,8703,,SARANDI,91140-001,ETANOL,23/05/2023,4.39,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,ITABIRA,PIRES COMBUSTIVEIS E SERVICOS LTDA,42.938.761/0005-62,AVENIDA MAURO RIBEIRO LAGE,90,,ESPLANADA DA ESTACAO,35900-560,ETANOL,24/05/2023,4.34,,R$ / litro,ALESAT,2023-11-21
NE,BA,CAMACARI,ESPERANCA COMERCIAL DE DERIVADOS DE PETROLEO LTDA,34.364.244/0001-75,AVENIDA VINTE E OITO DE SETEMBRO,279,,CENTRO,42800-001,ETANOL,25/05/2023,4.19,,R$ / litro,ALESAT,2023-11-21
NE,CE,ICO,AUTO POSTO DE COMBUSTIVEL GRIGORIO - EIRELI,34.460.057/0001-95,RODOVIA CE 282 DE ICO A IGUATU,2098,KM    5,CONJUNTO GAMA,63430-000,ETANOL,23/05/2023,4.79,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,CONTAGEM,DMA DISTRIBUIDORA S/A,01.928.075/0186-51,RODOVIA BR-381,3700,KM    3.5 POSTO,RIACHO DAS PEDRAS,32280-680,ETANOL,23/05/2023,3.59,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,BA,BRUMADO,R J COMERCIO DE COMBUSTIVEL E LUBRIFICANTES LTDA,39.452.944/0001-35,AVENIDA LINDOLFO AZEVEDO BRITO,518,,FELICIANO PEREIRA SANTOS,46100-000,ETANOL,24/05/2023,4.1,,R$ / litro,BRANCA,2023-11-21
NE,BA,SALVADOR,POSTO REDE JG SALVADOR LTDA,39.145.376/0001-20,AVENIDA OCTAVIO MANGABEIRA,6094,6094,BOCA DO RIO,41706-690,ETANOL,23/05/2023,3.83,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,CAMPO BELO,AUTO POSTO TUPY CAMPO BELO LTDA,40.165.592/0001-16,AVENIDA AFONSO PENA,423,,CENTRO,37270-000,ETANOL,24/05/2023,3.89,,R$ / litro,RAIZEN,2023-11-21
S,SC,JARAGUA DO SUL,POSTO GRID LTDA,07.063.295/0009-41,RUA CORONEL PROCOPIO GOMES DE OLIVEIRA,1900,,CENTRO,89251-200,ETANOL,22/05/2023,4.29,,R$ / litro,BRANCA,2023-11-21
NE,CE,ICO,FRANCISCO CHARLES LIMA NERI,05.368.755/0003-29,AVENIDA NOGUEIRA ACIOLY,1345,,CENTRO,63430-000,ETANOL,23/05/2023,4.45,,R$ / litro,BRANCA,2023-11-21
CO,GO,ITUMBIARA,POSTO PARANAIBA DE COMBUSTIVEIS LTDA,38.384.536/0001-20,RUA PARANAIBA,560,,SETOR OESTE,75526-452,ETANOL,24/05/2023,3.69,,R$ / litro,ALESAT,2023-11-21
SE,SP,MIRASSOL,AUTO POSTO VILA MOREIRA LTDA,37.151.654/0001-26,RUA MATHEUS LEITE DE ABREU,27-05,,JARDIM SAO BERNARDO II,15132-122,ETANOL,23/05/2023,3.59,,R$ / litro,ALESAT,2023-11-21
NE,CE,ICO,A . F. DE OLIVEIRA JUNIOR,33.656.846/0001-33,RUA MONSENHOR FROTA,430,,CENTRO,63430-000,ETANOL,22/05/2023,4.49,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,AL,PALMEIRA DOS INDIOS,LUNA & GAIA LTDA,39.805.644/0001-92,RUA PROJETADA,SN,,JUCA SAMPAIO,57600-970,ETANOL,26/05/2023,4.8,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,CACAPAVA,POSTO SOL DA DUTRA LTDA,06.012.414/0007-02,RUA VEREADOR GERALDO NOGUEIRA DA SILVA,1313,KM    130 SENTIDO NORTE,BAIRRO DO GRAMA,12286-285,ETANOL,23/05/2023,3.69,,R$ / litro,VIBRA ENERGIA,2023-11-21
