Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data Formatada,Mes,Ano,Data da Carga ETL
N,AM,PARINTINS,MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA,84.110.394/0011-00,ESTRADA ODOVALDO NOVO,S/N,,DJARD VIEIRA,69152-470,DIESEL S10,12/01/2023,7.29,,R$ / litro,BRANCA,2023-12-01,12,2023,2023-11-23
N,AM,PARINTINS,MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA,84.110.394/0011-00,ESTRADA ODOVALDO NOVO,S/N,,DJARD VIEIRA,69152-470,GASOLINA,12/01/2023,5.89,,R$ / litro,BRANCA,2023-12-01,12,2023,2023-11-23
N,AP,MACAPA,AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA,03.659.452/0003-30,RUA CLAUDOMIRO DE MORAES,1130,,NOVO BURITIZAL,68904-000,GASOLINA,12/01/2023,4.54,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
N,AP,MACAPA,AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA,03.659.452/0004-10,AVENIDA VIOLETA MONT'ALVERNE MOREIRA,275,,CONGOS,68900-000,GASOLINA,12/01/2023,4.54,,R$ / litro,BRANCA,2023-12-01,12,2023,2023-11-23
N,AP,MACAPA,AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA,05.983.192/0016-01,AVENIDA PADRE JULIO M LOMBAERD,2143,,SANTA RITA,68900-030,DIESEL,12/01/2023,6.36,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
N,AP,MACAPA,AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA,05.983.192/0016-01,AVENIDA PADRE JULIO M LOMBAERD,2143,,SANTA RITA,68900-030,GASOLINA,12/01/2023,4.54,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
N,AP,MACAPA,AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA,05.983.192/0003-89,RUA CANDIDO MENDES,167,,CENTRAL,68900-100,GASOLINA,12/01/2023,4.54,,R$ / litro,BRANCA,2023-12-01,12,2023,2023-11-23
N,AP,MACAPA,COMERCIAL GRAO DE OURO LTDA,04.707.467/0001-27,RUA HILDEMAR MAIA,1951,,BURITIZAL,68905-160,GASOLINA,12/01/2023,4.54,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,BA,ALAGOINHAS,CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.,08.359.486/0001-60,"RODOVIA BR 101, KM 110,5",S/N,,ZONA RURAL,48010-970,ETANOL,12/01/2023,4.39,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,BA,ALAGOINHAS,CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.,08.359.486/0001-60,"RODOVIA BR 101, KM 110,5",S/N,,ZONA RURAL,48010-970,DIESEL S10,12/01/2023,6.34,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,BA,ALAGOINHAS,CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.,08.359.486/0001-60,"RODOVIA BR 101, KM 110,5",S/N,,ZONA RURAL,48010-970,DIESEL,12/01/2023,6.18,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,BA,ALAGOINHAS,CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.,08.359.486/0001-60,"RODOVIA BR 101, KM 110,5",S/N,,ZONA RURAL,48010-970,GASOLINA ADITIVADA,12/01/2023,5.39,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,BA,ALAGOINHAS,CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.,08.359.486/0001-60,"RODOVIA BR 101, KM 110,5",S/N,,ZONA RURAL,48010-970,GASOLINA,12/01/2023,5.39,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,BA,ALAGOINHAS,CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.,08.359.486/0001-60,"RODOVIA BR 101, KM 110,5",S/N,,ZONA RURAL,48010-970,GNV,12/01/2023,4.29,,R$ / m³,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,BA,ALAGOINHAS,COMERCIAL DE PETRÓLEO CIDADE DA LARANJA LTDA.,07.054.417/0001-86,RUA DOUTOR JOÃO DANTAS,115,,SANTA TEREZINHA,48010-530,ETANOL,12/01/2023,4.69,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,BA,ALAGOINHAS,COMERCIAL DE PETRÓLEO CIDADE DA LARANJA LTDA.,07.054.417/0001-86,RUA DOUTOR JOÃO DANTAS,115,,SANTA TEREZINHA,48010-530,DIESEL S10,12/01/2023,7.19,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,BA,ALAGOINHAS,COMERCIAL DE PETRÓLEO CIDADE DA LARANJA LTDA.,07.054.417/0001-86,RUA DOUTOR JOÃO DANTAS,115,,SANTA TEREZINHA,48010-530,GASOLINA ADITIVADA,12/01/2023,5.89,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,BA,ALAGOINHAS,COMERCIAL DE PETRÓLEO CIDADE DA LARANJA LTDA.,07.054.417/0001-86,RUA DOUTOR JOÃO DANTAS,115,,SANTA TEREZINHA,48010-530,GASOLINA,12/01/2023,5.59,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
