Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
N,02/01/2023,DIESEL S10,IPIRANGA,7.02
N,10/01/2023,GASOLINA,IPIRANGA,5.14
N,11/01/2023,GASOLINA,SABBÁ,5.09
N,17/01/2023,ETANOL,SABBÁ,5.0
N,10/01/2023,GASOLINA ADITIVADA,BRANCA,5.3
N,09/01/2023,ETANOL,IPIRANGA,4.56
N,12/01/2023,GASOLINA ADITIVADA,SABBÁ,5.04
N,05/01/2023,GASOLINA ADITIVADA,BRANCA,5.47
N,16/01/2023,DIESEL,VIBRA ENERGIA,6.71
N,03/01/2023,GASOLINA ADITIVADA,SABBÁ,5.28
N,10/01/2023,ETANOL,IPIRANGA,4.35
N,05/01/2023,GASOLINA,IPIRANGA,5.12
N,03/01/2023,GASOLINA ADITIVADA,ATEM' S,4.99
N,02/01/2023,GASOLINA,RAIZEN,5.74
N,04/01/2023,GASOLINA,BRANCA,5.31
N,02/01/2023,DIESEL,BRANCA,6.62
N,03/01/2023,ETANOL,SABBÁ,5.36
N,11/01/2023,GASOLINA,VIBRA ENERGIA,5.12
N,24/01/2023,GASOLINA,RAIZEN,5.17
N,24/01/2023,DIESEL S10,EQUADOR,7.49
N,04/01/2023,DIESEL,VIBRA ENERGIA,6.66
N,11/01/2023,DIESEL,IPIRANGA,6.64
N,24/01/2023,ETANOL,IPIRANGA,4.36
N,26/01/2023,DIESEL,BRANCA,6.23
N,02/01/2023,GASOLINA,IPIRANGA,5.19
N,13/01/2023,DIESEL S10,IPIRANGA,6.71
N,12/01/2023,ETANOL,BRANCA,4.48
N,16/01/2023,GASOLINA,SABBÁ,4.92
N,16/01/2023,GASOLINA,ALESAT,5.13
N,05/01/2023,DIESEL S10,SABBÁ,6.64
N,11/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.38
N,11/01/2023,GASOLINA ADITIVADA,SABBÁ,5.27
N,26/01/2023,ETANOL,IPIRANGA,4.7
N,17/01/2023,GASOLINA,EQUADOR,4.96
N,19/01/2023,GASOLINA,VIBRA ENERGIA,5.03
N,09/01/2023,GASOLINA,ALESAT,5.11
N,17/01/2023,DIESEL,SABBÁ,6.75
N,26/01/2023,ETANOL,BRANCA,4.68
N,04/01/2023,DIESEL,RAIZEN,6.27
N,10/01/2023,DIESEL,ATEM' S,6.7
N,12/01/2023,DIESEL,BRANCA,6.85
N,25/01/2023,GASOLINA,BRANCA,5.57
N,03/01/2023,DIESEL S10,IPIRANGA,7.06
N,02/01/2023,DIESEL,VIBRA ENERGIA,6.8
N,10/01/2023,GASOLINA,VIBRA ENERGIA,5.28
N,09/01/2023,DIESEL,VIBRA ENERGIA,6.85
N,19/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.51
N,03/01/2023,DIESEL,EQUADOR,6.66
N,02/01/2023,GASOLINA,VIBRA ENERGIA,5.09
N,05/01/2023,DIESEL,SABBÁ,6.79
N,19/01/2023,DIESEL,IPIRANGA,6.84
N,03/01/2023,ETANOL,RAIZEN,3.99
N,23/01/2023,DIESEL,ATEM' S,6.53
N,12/01/2023,ETANOL,SABBÁ,4.39
N,19/01/2023,ETANOL,IPIRANGA,4.69
N,04/01/2023,ETANOL,VIBRA ENERGIA,4.47
N,18/01/2023,DIESEL,IPIRANGA,6.77
N,05/01/2023,GASOLINA,VIBRA ENERGIA,4.87
