Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
PI,17/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.49
PI,09/01/2023,DIESEL,BRANCA,6.59
PI,03/01/2023,DIESEL S10,VIBRA ENERGIA,6.86
PI,09/01/2023,DIESEL S10,ALESAT,7.59
PI,11/01/2023,DIESEL S10,VIBRA ENERGIA,6.69
PI,04/01/2023,GASOLINA,VIBRA ENERGIA,5.49
PI,11/01/2023,GASOLINA ADITIVADA,BRANCA,5.63
PI,25/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.26
PI,11/01/2023,ETANOL,BRANCA,4.17
PI,25/01/2023,GASOLINA,VIBRA ENERGIA,5.19
PI,25/01/2023,ETANOL,IPIRANGA,3.98
PI,10/01/2023,DIESEL S10,VIBRA ENERGIA,6.63
PI,16/01/2023,DIESEL,BRANCA,6.53
PI,04/01/2023,DIESEL,BRANCA,6.44
PI,11/01/2023,DIESEL S10,SABBÁ,6.72
PI,17/01/2023,GASOLINA,ALESAT,4.99
PI,10/01/2023,ETANOL,IPIRANGA,4.2
PI,02/01/2023,DIESEL S10,VIBRA ENERGIA,7.25
PI,02/01/2023,ETANOL,ALESAT,4.13
PI,18/01/2023,DIESEL S10,IPIRANGA,6.6
PI,10/01/2023,DIESEL,IPIRANGA,6.58
PI,23/01/2023,ETANOL,VIBRA ENERGIA,3.99
PI,16/01/2023,DIESEL,IPIRANGA,6.79
PI,02/01/2023,GASOLINA,SABBÁ,5.27
PI,16/01/2023,DIESEL,VIBRA ENERGIA,7.22
PI,18/01/2023,DIESEL,IPIRANGA,6.64
PI,16/01/2023,GASOLINA,VIBRA ENERGIA,5.24
PI,11/01/2023,DIESEL,IPIRANGA,6.57
PI,17/01/2023,GASOLINA,BRANCA,5.05
PI,16/01/2023,DIESEL S10,ALESAT,7.29
PI,11/01/2023,DIESEL,BRANCA,6.44
PI,17/01/2023,DIESEL S10,ALESAT,6.39
PI,25/01/2023,GASOLINA ADITIVADA,BRANCA,5.19
PI,10/01/2023,ETANOL,BRANCA,4.22
PI,10/01/2023,DIESEL,SABBÁ,6.59
PI,03/01/2023,DIESEL,IPIRANGA,6.77
PI,18/01/2023,ETANOL,IPIRANGA,4.22
PI,10/01/2023,GASOLINA ADITIVADA,BRANCA,5.48
PI,11/01/2023,ETANOL,ALESAT,4.17
PI,16/01/2023,GASOLINA ADITIVADA,BRANCA,5.16
