Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
CO,16/01/2023,ETANOL,BRANCA,3.68
CO,24/01/2023,GASOLINA,RAIZEN,4.84
CO,26/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.11
CO,23/01/2023,DIESEL,IPIRANGA,6.5
CO,24/01/2023,DIESEL,BRANCA,6.16
CO,05/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.2
CO,19/01/2023,DIESEL S10,MASUT DISTRIBUIDORA,6.49
CO,25/01/2023,ETANOL,IPIRANGA,3.67
CO,26/01/2023,DIESEL,MASUT DISTRIBUIDORA,6.06
CO,04/01/2023,GASOLINA,RAIZEN,5.16
CO,12/01/2023,GASOLINA,RAIZEN,4.98
CO,12/01/2023,ETANOL,SIMARELLI,3.77
CO,09/01/2023,DIESEL,TAURUS,6.44
CO,10/01/2023,GASOLINA ADITIVADA,BRANCA,4.99
CO,05/01/2023,ETANOL,MASUT DISTRIBUIDORA,3.85
CO,18/01/2023,GASOLINA,ALESAT,4.75
CO,06/01/2023,ETANOL,IPIRANGA,3.79
CO,17/01/2023,DIESEL,IPIRANGA,6.45
CO,03/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.05
CO,12/01/2023,DIESEL S10,BRANCA,6.27
CO,20/01/2023,DIESEL,IPIRANGA,5.79
CO,26/01/2023,DIESEL S10,IPIRANGA,6.25
CO,05/01/2023,ETANOL,RAIZEN,4.0
CO,26/01/2023,DIESEL,VIBRA ENERGIA,6.57
CO,02/01/2023,GNV,VIBRA ENERGIA,3.54
CO,03/01/2023,ETANOL,IPIRANGA,3.86
CO,09/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.22
CO,02/01/2023,DIESEL S10,RAIZEN,6.62
CO,19/01/2023,DIESEL S10,IPIRANGA,6.43
CO,12/01/2023,ETANOL,IPIRANGA,3.79
CO,04/01/2023,ETANOL,VIBRA ENERGIA,3.87
CO,03/01/2023,GASOLINA,BRANCA,5.08
CO,05/01/2023,DIESEL S10,RIO BRANCO,6.49
CO,11/01/2023,GASOLINA ADITIVADA,MASUT DISTRIBUIDORA,5.15
CO,19/01/2023,GASOLINA ADITIVADA,ALESAT,4.65
CO,24/01/2023,DIESEL S10,BRANCA,6.33
CO,04/01/2023,GASOLINA,IPIRANGA,5.14
CO,06/01/2023,GASOLINA ADITIVADA,BRANCA,4.8
CO,12/01/2023,GASOLINA,TAURUS,4.69
CO,24/01/2023,ETANOL,IPIRANGA,3.83
CO,26/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.94
CO,05/01/2023,DIESEL,ALESAT,6.01
CO,18/01/2023,ETANOL,MASUT DISTRIBUIDORA,3.82
CO,25/01/2023,DIESEL,MASUT DISTRIBUIDORA,6.34
CO,11/01/2023,ETANOL,IPIRANGA,3.98
CO,03/01/2023,GASOLINA ADITIVADA,RAIZEN,5.22
CO,24/01/2023,DIESEL S10,IPIRANGA,6.62
CO,12/01/2023,DIESEL S10,RAIZEN,6.49
