Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data Formatada,Mes,Ano,Data da Carga ETL
NE,CE,JUAZEIRO DO NORTE,URBANO COMERCIO DE LUBRIFICANTES LIMITADA,05.775.567/0001-53,RUA JOSE ANDRADE DE LAVOR,2734,,ROMEIRAO,63050-430,GASOLINA,05/05/2023,5.89,,R$ / litro,VIBRA ENERGIA,2023-05-05,5,2023,2023-11-23
NE,CE,JUAZEIRO DO NORTE,M D PETROLEO LTDA,86.956.182/0001-94,AVENIDA PRESIDENTE CASTELO BRANCO,618,,PIRAJA,63034-112,ETANOL,05/05/2023,5.69,,R$ / litro,BRANCA,2023-05-05,5,2023,2023-11-23
NE,CE,JUAZEIRO DO NORTE,M D PETROLEO LTDA,86.956.182/0001-94,AVENIDA PRESIDENTE CASTELO BRANCO,618,,PIRAJA,63034-112,DIESEL S10,05/05/2023,6.05,,R$ / litro,BRANCA,2023-05-05,5,2023,2023-11-23
NE,CE,JUAZEIRO DO NORTE,M D PETROLEO LTDA,86.956.182/0001-94,AVENIDA PRESIDENTE CASTELO BRANCO,618,,PIRAJA,63034-112,GASOLINA ADITIVADA,05/05/2023,6.09,,R$ / litro,BRANCA,2023-05-05,5,2023,2023-11-23
NE,CE,JUAZEIRO DO NORTE,M D PETROLEO LTDA,86.956.182/0001-94,AVENIDA PRESIDENTE CASTELO BRANCO,618,,PIRAJA,63034-112,GASOLINA,05/05/2023,5.56,,R$ / litro,BRANCA,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,POSTO BARBADOS LTDA,02.806.627/0001-60,BR 259 KM 46,S/N,TREVO DE BARBADOS,BARBADOS,29700-778,DIESEL S10,05/05/2023,5.79,,R$ / litro,RAIZEN,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,POSTO BARBADOS LTDA,02.806.627/0001-60,BR 259 KM 46,S/N,TREVO DE BARBADOS,BARBADOS,29700-778,DIESEL,05/05/2023,5.69,,R$ / litro,RAIZEN,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,POSTO BARBADOS LTDA,02.806.627/0001-60,BR 259 KM 46,S/N,TREVO DE BARBADOS,BARBADOS,29700-778,GASOLINA ADITIVADA,05/05/2023,6.05,,R$ / litro,RAIZEN,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,POSTO BARBADOS LTDA,02.806.627/0001-60,BR 259 KM 46,S/N,TREVO DE BARBADOS,BARBADOS,29700-778,GASOLINA,05/05/2023,5.85,,R$ / litro,RAIZEN,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,MOTOCAP COMBUSTIVEIS LTDA,05.791.319/0001-04,RODOVIA GETHER LOPES DE FARIAS,2600,,CARLOS GERMANO NAUMANN,29705-390,ETANOL,05/05/2023,4.99,,R$ / litro,VIBRA ENERGIA,2023-05-05,5,2023,2023-11-23
