Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data Formatada,Mes,Ano,Data da Carga ETL
CO,GO,CATALAO,AUTO POSTO PANTERA EIRELI,08.165.655/0001-21,RUA DA RESISTENCIA,12,,JARDIM PAULISTA,75704-420,GASOLINA,09/06/2023,5.27,,R$ / litro,IPIRANGA,2023-09-06,9,2023,2023-11-23
CO,GO,CATALAO,POSTO SAO JOAO COMERCIO E DERIVADOS DE PETROLEO LTDA,07.852.728/0001-90,AVENIDA JOAO NEVES VIEIRA,555,,LOTEAMENTO LEAO,75707-070,ETANOL,09/06/2023,3.79,,R$ / litro,IPIRANGA,2023-09-06,9,2023,2023-11-23
CO,GO,CATALAO,POSTO SAO JOAO COMERCIO E DERIVADOS DE PETROLEO LTDA,07.852.728/0001-90,AVENIDA JOAO NEVES VIEIRA,555,,LOTEAMENTO LEAO,75707-070,DIESEL S10,09/06/2023,4.99,,R$ / litro,IPIRANGA,2023-09-06,9,2023,2023-11-23
CO,GO,CATALAO,POSTO SAO JOAO COMERCIO E DERIVADOS DE PETROLEO LTDA,07.852.728/0001-90,AVENIDA JOAO NEVES VIEIRA,555,,LOTEAMENTO LEAO,75707-070,DIESEL,09/06/2023,4.95,,R$ / litro,IPIRANGA,2023-09-06,9,2023,2023-11-23
CO,GO,CATALAO,POSTO SAO JOAO COMERCIO E DERIVADOS DE PETROLEO LTDA,07.852.728/0001-90,AVENIDA JOAO NEVES VIEIRA,555,,LOTEAMENTO LEAO,75707-070,GASOLINA ADITIVADA,09/06/2023,5.49,,R$ / litro,IPIRANGA,2023-09-06,9,2023,2023-11-23
CO,GO,CATALAO,POSTO SAO JOAO COMERCIO E DERIVADOS DE PETROLEO LTDA,07.852.728/0001-90,AVENIDA JOAO NEVES VIEIRA,555,,LOTEAMENTO LEAO,75707-070,GASOLINA,09/06/2023,5.29,,R$ / litro,IPIRANGA,2023-09-06,9,2023,2023-11-23
CO,GO,CATALAO,AUTO POSTO DA TORRE LTDA,07.005.566/0001-55,RUA MAJOR PAULINO,215,,NOSSA SRA DE FATIMA,75709-220,ETANOL,09/06/2023,3.69,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
CO,GO,CATALAO,AUTO POSTO DA TORRE LTDA,07.005.566/0001-55,RUA MAJOR PAULINO,215,,NOSSA SRA DE FATIMA,75709-220,DIESEL S10,09/06/2023,4.89,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
CO,GO,CATALAO,AUTO POSTO DA TORRE LTDA,07.005.566/0001-55,RUA MAJOR PAULINO,215,,NOSSA SRA DE FATIMA,75709-220,DIESEL,09/06/2023,4.79,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
CO,GO,CATALAO,AUTO POSTO DA TORRE LTDA,07.005.566/0001-55,RUA MAJOR PAULINO,215,,NOSSA SRA DE FATIMA,75709-220,GASOLINA,09/06/2023,5.29,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
CO,GO,CATALAO,POSTO AGUIAR LTDA,01.321.371/0001-38,RUA DR PEDRO LUDOVICO,678,,CENTRO,75701-030,ETANOL,09/06/2023,3.79,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
CO,GO,CATALAO,POSTO AGUIAR LTDA,01.321.371/0001-38,RUA DR PEDRO LUDOVICO,678,,CENTRO,75701-030,DIESEL S10,09/06/2023,5.29,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
CO,GO,CATALAO,POSTO AGUIAR LTDA,01.321.371/0001-38,RUA DR PEDRO LUDOVICO,678,,CENTRO,75701-030,GASOLINA,09/06/2023,5.19,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
CO,GO,GOIANIA,FERRARI DISTRIBUIDORA DE COMBUST E LUBRIFICANTES LTDA,00.080.130/0001-81,AVENIDA GAMELEIRA,"1,819",QD. X-01  LTS. 1/2,JARDIM BRASIL,74730-320,ETANOL,09/06/2023,3.94,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
CO,GO,GOIANIA,FERRARI DISTRIBUIDORA DE COMBUST E LUBRIFICANTES LTDA,00.080.130/0001-81,AVENIDA GAMELEIRA,"1,819",QD. X-01  LTS. 1/2,JARDIM BRASIL,74730-320,DIESEL S10,09/06/2023,5.39,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
CO,GO,GOIANIA,FERRARI DISTRIBUIDORA DE COMBUST E LUBRIFICANTES LTDA,00.080.130/0001-81,AVENIDA GAMELEIRA,"1,819",QD. X-01  LTS. 1/2,JARDIM BRASIL,74730-320,DIESEL,09/06/2023,5.29,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
CO,GO,GOIANIA,FERRARI DISTRIBUIDORA DE COMBUST E LUBRIFICANTES LTDA,00.080.130/0001-81,AVENIDA GAMELEIRA,"1,819",QD. X-01  LTS. 1/2,JARDIM BRASIL,74730-320,GASOLINA,09/06/2023,5.44,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
CO,GO,GOIANIA,POSTO TRIANGULO EIRELI,00.287.484/0001-00,AVENIDA ANHANGUERA,7790,,ST DOS FUNCIONARIOS,74543-030,ETANOL,09/06/2023,3.79,,R$ / litro,RAIZEN,2023-09-06,9,2023,2023-11-23
CO,GO,GOIANIA,POSTO TRIANGULO EIRELI,00.287.484/0001-00,AVENIDA ANHANGUERA,7790,,ST DOS FUNCIONARIOS,74543-030,DIESEL S10,09/06/2023,4.99,,R$ / litro,RAIZEN,2023-09-06,9,2023,2023-11-23
CO,GO,GOIANIA,POSTO TRIANGULO EIRELI,00.287.484/0001-00,AVENIDA ANHANGUERA,7790,,ST DOS FUNCIONARIOS,74543-030,GASOLINA,09/06/2023,5.34,,R$ / litro,RAIZEN,2023-09-06,9,2023,2023-11-23
CO,GO,MORRINHOS,AUTO POSTO LAMBARI LTDA,33.318.692/0001-70,AVENIDA COUTO DE MAGALHAES,528,,CENTRO,75650-000,ETANOL,09/06/2023,3.79,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
CO,GO,MORRINHOS,AUTO POSTO LAMBARI LTDA,33.318.692/0001-70,AVENIDA COUTO DE MAGALHAES,528,,CENTRO,75650-000,DIESEL S10,09/06/2023,4.79,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
